Payment ID,Charge Time,Donation Amount,FB Fee,Net Payout Amount,Payout Currency,Sender Currency,Tax Amount,Tax USD Amount,Charge Action Type,Charge Date,First Name,Last Name,Email Address,Campaign ID,Fundraiser Title,Source Name,Permalink,Charity ID,Campaign Owner Name,Payment Processor,Matching Donation,Fundraiser Type,Charge Time PT
3155856197864421,1598992352,100,0,100,USD,USD,0,0,S,2020-09-01,Mufasa,Adams,,687893718739887,Simba's fundraiser for CHEER Seattle,fundraiser,https://www.facebook.com/687893718739887,2096749237234370,Robbie Luckie,Facebook,No,Generic Fundraiser,2020-09-01 13:32:32
3032068476905571,1599365160,10,0,10,USD,USD,0,0,S,2020-09-05,Sarabi,Baker,,417098055368200,CHEER Seattle,fundraiser,https://www.facebook.com/417098055368200,2096749237234370,,Facebook,No,Page Donate Button,2020-09-05 21:06:00
3142074299236558,1599409598,25,0,25,USD,USD,0,0,S,2020-09-06,Simba,Clark,,417098055368200,CHEER Seattle,fundraiser,https://www.facebook.com/417098055368200,2096749237234370,,Facebook,No,Page Donate Button,2020-09-06 9:26:38
3402319573218083,1600617528,100,0,100,USD,USD,0,0,S,2020-09-20,Nala,Davis,,687893718739887,Simba's fundraiser for CHEER Seattle,fundraiser,https://www.facebook.com/687893718739887,2096749237234370,Marta Massey,Facebook,No,Generic Fundraiser,2020-09-20 8:58:48
3278176988962879,1600620653,10,0,10,USD,USD,0,0,S,2020-09-20,Kiara,Evans,,687893718739887,Simba's fundraiser for CHEER Seattle,fundraiser,https://www.facebook.com/687893718739887,2096749237234370,,Facebook,No,Generic Fundraiser,2020-09-20 9:50:53
3157987450985725,1600621992,10,0,10,USD,USD,0,0,S,2020-09-20,Kovu,Frank,,687893718739887,Simba's fundraiser for CHEER Seattle,fundraiser,https://www.facebook.com/687893718739887,2096749237234370,Melissia Wigger,Facebook,No,Generic Fundraiser,2020-09-20 10:13:12
3349900888459153,1600718032,20,0,20,USD,USD,0,0,S,2020-09-21,Timon,Ghosh,,687893718739887,Simba's fundraiser for CHEER Seattle,fundraiser,https://www.facebook.com/687893718739887,2096749237234370,Melissia Wigger,Facebook,No,Generic Fundraiser,2020-09-21 12:53:52
3265539390225924,1600797699,20,0,20,USD,USD,0,0,S,2020-09-22,Pumbaa,Hills,,687893718739887,Simba's fundraiser for CHEER Seattle,fundraiser,https://www.facebook.com/687893718739887,2096749237234370,,Facebook,No,Generic Fundraiser,2020-09-22 11:01:39
3104913609620861,1600988493,5,0,5,USD,USD,0,0,S,2020-09-24,Rafiki,Irwin,,674248806828534,,donate_button_user_posts,https://www.facebook.com/674248806828534,2096749237234370,,Facebook,No,Post Donate Button,2020-09-24 16:01:33
3264215553696246,1600996133,10,0,10,USD,USD,0,0,S,2020-09-24,Robbie,Luckie,,674248806828534,,donate_button_user_posts,https://www.facebook.com/674248806828534,2096749237234370,Ethan Gilman,Facebook,No,Post Donate Button,2020-09-24 18:08:53
